partner,url,pic,current
EA,https://www.ea.com/careers/careers-overview/hyderabad,easports.png,
Joveo,https://www.joveo.com/,joveo.png,
AuthBase,http://www.authbase.net/,authbase.png,
DBS,hrrps://www.dbs.com/in/index/default.page,dbs.png,
UNIspotter,http://application.unispotter.com/,uni.jpg,
UBER,https://www.uber.com/,uber.jpeg,
4yuva,https://www.4yuva.com,4yuva.png,
Digital Ocean,https://www.digitalocean.com/?utm_medium=india_community&utm_source=iith,DO.png,
Amazon,https://www.amazon.in,amazon.png,
Capgemini,https://www.capgemini.com,capgemini.png,
FestPav,https://www.festpav.com,festpav.png,
Ibm,https://www.ibm.com/in-en/,ibm.png,
Inc42,https://www.inc42.com,inc42.png,
LovelyChocos,https://www.lovelychocos.com,lovelychocos-logo.png,
MeraEvents,https://meraevents.com,meraevents.jpg,
Photriya,https://www.photriya.com/,photriya.png,
PWC,https://www.pwc.in,pwc.png,
SheTeam,https://www.hyderabadpolice.gov.in/SheTeams.html,sheteam.jpg,
StuMagz,https://www.stumagz.com,stumagz.png,
TechFest,https://www.thetechfest.com,techfest.png,
Ecell-IIMB,http://spidi2.iimb.ernet.in/~eni/,ecell-iimb.png,yes
IIITD,https://iiitd.ecell.io/,iiitd.ecell.io.png,yes
IIT B,https://www.ecell.in,www.ecell.in.png,yes
.Tech,https://get.tech/domain-offers,tech.png,
